city,city_ascii,lat,lng,country,population
Owariasahi,Owariasahi,35.2167,137.0333,Japan,81914
Nagaoka,Nagaoka,34.9267,135.6956,Japan,80514
Kunitachi,Kunitachi,35.6839,139.4414,Japan,75156
Shinkai,Shinkai,35.8367,139.5803,Japan,75265
Chiryū,Chiryu,35,137.1167,Japan,72166
Musashimurayama,Musashimurayama,35.7547,139.3875,Japan,71579
Kiyosu,Kiyosu,35.2,136.85,Japan,69680
Hekinan,Hekinan,34.8833,137,Japan,72875
Tsurugashima,Tsurugashima,35.9344,139.3931,Japan,70076
Yoshikawa,Yoshikawa,35.8911,139.8414,Japan,71763
Yawata-shimizui,Yawata-shimizui,34.8756,135.7078,Japan,70931
Toyoake,Toyoake,35.0625,137.0089,Japan,69448
Fujiidera,Fujiidera,34.5747,135.5975,Japan,63814
Kitamoto,Kitamoto,36.0269,139.53,Japan,65478
Tomigusuku,Tomigusuku,26.1772,127.6811,Japan,63700
Tsushima,Tsushima,35.1833,136.7333,Japan,61732
Mukōchō,Mukocho,34.9486,135.6983,Japan,56415
Hasuda,Hasuda,35.9942,139.6622,Japan,61507
Sayama,Sayama,34.5036,135.5556,Japan,58746
Fussa,Fussa,35.7386,139.3267,Japan,57527
Koja,Koja,26.3643,127.8328,Japan,58658
Hamura,Hamura,35.7672,139.3111,Japan,54874
Zushi,Zushi,35.2956,139.5803,Japan,56936
Shiraoka,Shiraoka,36.0189,139.6769,Japan,52094
Iwakura,Iwakura,35.2833,136.8667,Japan,47839
Takahama,Takahama,34.9276,136.9877,Japan,48561
Suzukawa,Suzukawa,35.3731,139.3842,Japan,48379
Kasuga,Kasuga,33.6108,130.4806,Japan,47554
Inuma,Inuma,36,139.6239,Japan,44977
Nakama,Nakama,33.8167,130.709,Japan,40003
Miyoshidai,Miyoshidai,35.8283,139.5267,Japan,38393
Kanie,Kanie,35.1322,136.7869,Japan,37048
Nishihara,Nishihara,26.2261,127.7656,Japan,34741
Minamishiro,Minamishiro,36.0225,139.7228,Japan,34133
Kaita,Kaita,34.3722,132.5361,Japan,29431
Ninomiya,Ninomiya,35.2994,139.2553,Japan,27744
Kizuki,Kizuki,33.85,130.7,Japan,28002
Chatan,Chatan,26.32,127.7639,Japan,28270
Nangō,Nango,34.6003,135.6956,Japan,23315
Kanmaki,Kanmaki,34.5628,135.7167,Japan,21318
Kasamatsuchō,Kasamatsucho,35.3672,136.7633,Japan,22513
Yonabaru,Yonabaru,26.1994,127.7547,Japan,19494
Kitagata,Kitagata,35.4369,136.6861,Japan,18271
Tadaoka-higashi,Tadaoka-higashi,34.4869,135.4011,Japan,16840
Kawachichō,Kawachicho,34.5783,135.7367,Japan,17216
Yamazaki,Yamazaki,34.9028,135.6886,Japan,15704
Saku,Saku,36.2489,138.4769,Japan,98609
Iida,Iida,35.5147,137.8219,Japan,98129
Fukata,Fukata,33.8056,130.5406,Japan,96886
Kamisu,Kamisu,35.89,140.6647,Japan,95370
Kanuma,Kanuma,36.5672,139.745,Japan,95812
Ōmura,Omura,32.9,129.9583,Japan,95062
Azumino,Azumino,36.3028,137.8997,Japan,94463
Hanamaki Onsen,Hanamaki Onsen,39.3886,141.1167,Japan,94007
Higashi-Matsuyama,Higashi-Matsuyama,36.0422,139.4,Japan,92302
Kitakami,Kitakami,39.2867,141.1131,Japan,92447
Mihara,Mihara,34.4581,133.0039,Japan,91604
Imizuchō,Imizucho,36.7125,137.0994,Japan,90877
Takagi,Takagi,36.1669,136.2317,Japan,88795
Mobara,Mobara,35.4283,140.2881,Japan,87450
Fukuroi,Fukuroi,34.7503,137.925,Japan,87064
Gotenba,Gotenba,35.3086,138.935,Japan,87078
Sekimachi,Sekimachi,35.4958,136.9178,Japan,86698
Kitakōriyamachō,Kitakoriyamacho,34.6494,135.7828,Japan,84820
Yokotemachi,Yokotemachi,39.3106,140.5533,Japan,86499
Ushiku,Ushiku,35.9833,140.15,Japan,84637
Chita,Chita,35,136.8667,Japan,83946
Muroran,Muroran,42.3153,140.9736,Japan,83287
Moriyama,Moriyama,35.0589,135.9944,Japan,82526
Nakatsu,Nakatsu,33.5983,131.1883,Japan,82875
Kimitsu,Kimitsu,35.3306,139.9025,Japan,82548
Kaneyama,Kaneyama,31.3833,130.85,Japan,82335
Ōmihachiman,Omihachiman,35.1283,136.0981,Japan,81322
Gamagōri,Gamagori,34.8264,137.2196,Japan,80091
Akiruno,Akiruno,35.7289,139.2942,Japan,80074
Iwamizawa,Iwamizawa,43.1961,141.7758,Japan,80753
Gyōda,Gyoda,36.1389,139.4558,Japan,79405
Hannō,Hanno,35.8558,139.3278,Japan,79891
Maizuru,Maizuru,35.45,135.3167,Japan,79886
Natori-shi,Natori-shi,38.1717,140.8919,Japan,78796
Mooka,Mooka,36.4403,140.0131,Japan,79109
Nikkō,Nikko,36.7198,139.6982,Japan,78768
Toyooka,Toyooka,35.5333,134.8167,Japan,78299
Tsubame,Tsubame,37.6667,138.9667,Japan,77307
Daisen,Daisen,39.4531,140.4756,Japan,77886
Toyomamachi-teraike,Toyomamachi-teraike,38.6919,141.1878,Japan,77795
Honjō,Honjo,36.2439,139.1903,Japan,77045
Ryūgasaki,Ryugasaki,35.9167,140.1833,Japan,76741
